"Category","ID","Requirement","URL","v2025.6.0","v2025.3.0","v2024.7.0","v2024.2.0"
"lanelet2 format version","","","","1","1","1","1"
"カテゴリー レーン","-","道路のレーンの作成要件と適用フロー（隣りに道路の場合）","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/","No","No","No","No"
"カテゴリー レーン","-","道路のレーンの作成要件と適用フロー（端の場合）","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/","No","No","No","No"
"カテゴリー レーン","vm-01-01","レーンの基本","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-01-%E3%83%AC%E3%83%BC%E3%83%B3%E3%81%AE%E5%9F%BA%E6%9C%AC","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-02","レーンチェンジの許可","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-02-%E3%83%AC%E3%83%BC%E3%83%B3%E3%83%81%E3%82%A7%E3%83%B3%E3%82%B8%E3%81%AE%E8%A8%B1%E5%8F%AF","No","No","No","No"
"カテゴリー レーン","vm-01-03","Linestring の共有","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-03-linestring-%E3%81%AE%E5%85%B1%E6%9C%89","No","No","No","No"
"カテゴリー レーン","vm-01-04","対向車線のレーンの中央線の共有","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-04-%E5%AF%BE%E5%90%91%E8%BB%8A%E7%B7%9A%E3%81%AE%E3%83%AC%E3%83%BC%E3%83%B3%E3%81%AE%E4%B8%AD%E5%A4%AE%E7%B7%9A%E3%81%AE%E5%85%B1%E6%9C%89","No","No","No","No"
"カテゴリー レーン","vm-01-05","レーンの形状","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-05-%E3%83%AC%E3%83%BC%E3%83%B3%E3%81%AE%E5%BD%A2%E7%8A%B6","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-06","線の位置(1)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-06-%E7%B7%9A%E3%81%AE%E4%BD%8D%E7%BD%AE1","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-07","線の位置(2)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-07-%E7%B7%9A%E3%81%AE%E4%BD%8D%E7%BD%AE2","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-08","線の位置(3)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-08-%E7%B7%9A%E3%81%AE%E4%BD%8D%E7%BD%AE3","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-09","速度制限","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-09-%E9%80%9F%E5%BA%A6%E5%88%B6%E9%99%90","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-10","centerline","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-10-centerline","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-11","centerline の接続(1)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-11-centerline-%E3%81%AE%E6%8E%A5%E7%B6%9A1","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-12","centerline の接続(2)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-12-centerline-%E3%81%AE%E6%8E%A5%E7%B6%9A2","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-13","中央線がない 1 車線の道路(1)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-13-%E4%B8%AD%E5%A4%AE%E7%B7%9A%E3%81%8C%E3%81%AA%E3%81%84-1-%E8%BB%8A%E7%B7%9A%E3%81%AE%E9%81%93%E8%B7%AF1","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-14","中央線がない 1 車線の道路(2)","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-14-%E4%B8%AD%E5%A4%AE%E7%B7%9A%E3%81%8C%E3%81%AA%E3%81%84-1-%E8%BB%8A%E7%B7%9A%E3%81%AE%E9%81%93%E8%B7%AF2","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-15","路肩","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-15-%E8%B7%AF%E8%82%A9","No","No","No","No"
"カテゴリー レーン","vm-01-16","路肩の Linestring の共有","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-16-%E8%B7%AF%E8%82%A9%E3%81%AE-linestring-%E3%81%AE%E5%85%B1%E6%9C%89","No","No","No","No"
"カテゴリー レーン","vm-01-17","路側帯","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-17-%E8%B7%AF%E5%81%B4%E5%B8%AF","No","No","No","No"
"カテゴリー レーン","vm-01-18","路側帯の Linestring の共有","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-18-%E8%B7%AF%E5%81%B4%E5%B8%AF%E3%81%AE-linestring-%E3%81%AE%E5%85%B1%E6%9C%89","No","No","No","No"
"カテゴリー レーン","vm-01-19","歩道","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-19-%E6%AD%A9%E9%81%93","No","No","No","No"
"カテゴリー レーン","vm-01-20","Lanelet 間の Linestring の共有","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-20-lanelet-%E9%96%93%E3%81%AE-linestring-%E3%81%AE%E5%85%B1%E6%9C%89","Yes","Yes","Yes","Yes"
"カテゴリー レーン","vm-01-21","Lanelet 間の前後の接続","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_lane/#vm-01-21-lanelet-%E9%96%93%E3%81%AE%E5%89%8D%E5%BE%8C%E3%81%AE%E6%8E%A5%E7%B6%9A","Yes","Yes","Yes","Yes"
"カテゴリー 停止線","vm-02-01","停止線の位置","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_stop_line/#vm-02-01-%E5%81%9C%E6%AD%A2%E7%B7%9A%E3%81%AE%E4%BD%8D%E7%BD%AE","Yes","Yes","Yes","Yes"
"カテゴリー 停止線","vm-02-02","一時停止の道路標識","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_stop_line/#vm-02-02-%E4%B8%80%E6%99%82%E5%81%9C%E6%AD%A2%E3%81%AE%E9%81%93%E8%B7%AF%E6%A8%99%E8%AD%98","Yes","Yes","Yes","Yes"
"カテゴリー 停止線","vm-02-03","二段停止線","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_stop_line/#vm-02-03-%E4%BA%8C%E6%AE%B5%E5%81%9C%E6%AD%A2%E7%B7%9A","Yes","Yes","Yes","Yes"
"カテゴリー 停止線","vm-02-04","停止線の補足","https://docs.pilot.auto/reference-design/common/map-requirements/vector-map-requirements/category_stop_line/#vm-02-04-%E5%81%9C%E6%AD%A2%E7%B7%9A%E3%81%AE%E8%A3%9C%E8%B6%B3","Yes","Yes","Yes","Yes"
